"No","Month","Product","Profit"
1,January,GBC DocuBind P400 Electric Binding System,2504.2216
2,February,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",2799.984
3,March,Canon imageCLASS 2200 Advanced Copier,6719.9808
4,April,"3D Systems Cube Printer, 2nd Generation, Magenta",2365.9818
5,May,Fellowes PB300 Plastic Comb Binding Machine,1276.4871
6,June,Hewlett-Packard Desktjet 6988DT Refurbished Printer,1668.205
7,July,Hewlett Packard LaserJet 3310 Copier,1031.9828
8,August,Cisco 9971 IP Video Phone Charcoal,1416.8
9,September,Ibico EPK-21 Electric Binding System,4630.4755
10,October,Canon imageCLASS 2200 Advanced Copier,12319.964800000002
11,November,Canon imageCLASS 2200 Advanced Copier,5039.9856
12,December,GBC Ibimaster 500 Manual ProClick Binding System,3880.9979999999996
