"YEAR","Product","Category","Profit"
2014,Ibico EPK-21 Electric Binding System,Office Supplies,4630.4755
2014,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,1995.99
2014,Ativa V4110MDD Micro-Cut Shredder,Technology,1371.9804
2014,Global Deluxe High-Back Manager's Chair,Furniture,1369.8442
2014,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,1294.9926
2015,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,7498.841
2015,Zebra ZM400 Thermal Label Printer,Technology,3343.536
2015,Canon PC1060 Personal Laser Copier,Technology,2680.9617
2015,Canon PC940 Copier,Technology,1966.4563
2015,Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,1535.898
2016,Canon imageCLASS 2200 Advanced Copier,Technology,9519.9728
2016,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,2967.8219999999997
2016,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,2799.984
2016,Hewlett Packard LaserJet 3310 Copier,Technology,2783.9536
2016,Ativa V4110MDD Micro-Cut Shredder,Technology,2400.9657
2017,Canon imageCLASS 2200 Advanced Copier,Technology,15679.9552
2017,Hewlett Packard LaserJet 3310 Copier,Technology,3623.9396
2017,GBC DocuBind TL300 Electric Binding System,Office Supplies,1910.5887
2017,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,1753.7148
2017,Canon Image Class D660 Copier,Technology,1691.9718
